myo,action
19,Flex
20,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
19,Flex
18,Flex
18,Flex
19,Flex
19,Flex
19,Flex
18,Flex
18,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
18,Flex
19,Flex
18,Flex
18,Flex
18,Flex
18,Flex
17,Flex
18,Flex
17,Flex
17,Flex
18,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
18,Flex
18,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
16,Flex
17,Flex
17,Flex
17,Flex
17,Flex
17,Flex
16,Flex
16,Flex
16,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
17,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
17,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
15,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
16,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
16,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
15,Flex
14,Flex
15,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
15,Flex
15,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
14,Flex
15,Flex
14,Flex
14,Flex
13,Flex
14,Flex
13,Flex
14,Flex
13,Flex
14,Flex
14,Flex
14,Flex
13,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
14,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
12,Flex
12,Flex
13,Flex
13,Flex
13,Flex
13,Flex
13,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
13,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
11,Flex
12,Flex
12,Flex
12,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
12,Flex
12,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
12,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
12,Flex
11,Flex
11,Flex
11,Not
11,Not
12,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
12,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
12,Not
11,Not
11,Not
12,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
10,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
11,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
10,Not
11,Not
11,Not
11,Not
11,Not
10,Not
11,Not
10,Not
11,Not
10,Not
10,Not
11,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
11,Not
10,Not
10,Not
10,Not
10,Not
