myo,action
27,Not
27,Not
26,Not
27,Not
27,Not
26,Not
26,Not
26,Not
26,Not
26,Not
26,Not
25,Not
26,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
25,Not
24,Not
25,Not
25,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
20,Not
21,Not
21,Not
20,Not
21,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
19,Not
20,Not
19,Not
19,Not
20,Not
19,Not
19,Not
19,Not
19,Not
20,Not
19,Not
19,Not
18,Not
19,Not
19,Not
19,Not
18,Not
18,Not
18,Not
18,Not
18,Not
18,Not
18,Not
18,Not
18,Not
17,Not
18,Not
17,Not
17,Not
17,Not
17,Not
17,Not
17,Not
17,Not
17,Not
17,Not
17,Not
16,Not
16,Not
16,Not
16,Not
17,Not
16,Not
16,Not
16,Not
17,Not
16,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
16,Not
16,Not
16,Not
16,Not
18,Not
17,Not
17,Not
17,Not
17,Not
16,Not
16,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
15,Not
15,Not
15,Not
14,Not
13,Not
17,Not
18,Not
17,Not
18,Not
17,Not
17,Not
17,Not
17,Not
16,Not
16,Not
16,Not
16,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
16,Not
16,Not
15,Not
15,Not
16,Not
15,Not
15,Not
15,Not
15,Not
15,Not
14,Not
15,Not
14,Not
14,Not
14,Not
14,Not
14,Not
14,Not
14,Not
14,Not
14,Not
13,Not
14,Not
17,Not
16,Not
16,Not
16,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
15,Not
15,Not
15,Not
15,Not
15,Not
15,Not
18,Not
20,Not
18,Not
19,Not
18,Not
18,Not
16,Not
17,Not
16,Not
16,Not
16,Not
17,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
15,Not
15,Not
17,Not
16,Not
16,Not
16,Not
17,Not
16,Not
17,Not
16,Not
16,Not
16,Not
16,Not
15,Not
15,Not
15,Not
18,Not
18,Not
19,Not
20,Not
19,Not
21,Not
22,Not
22,Not
21,Not
21,Not
20,Not
21,Not
20,Not
21,Not
21,Not
21,Not
21,Not
20,Not
20,Not
20,Not
20,Not
20,Not
19,Not
18,Not
18,Not
18,Not
17,Not
18,Not
17,Not
19,Not
21,Not
20,Not
21,Not
21,Not
20,Not
20,Not
20,Not
19,Not
19,Not
19,Not
18,Not
18,Not
17,Not
20,Not
20,Not
23,Not
27,Not
27,Not
27,Not
32,Not
32,Not
32,Not
31,Not
30,Not
30,Not
29,Not
29,Not
28,Not
28,Not
27,Not
27,Not
26,Not
26,Not
25,Not
25,Not
24,Not
25,Not
25,Not
27,Not
27,Not
37,Not
36,Not
35,Not
34,Not
34,Not
32,Not
