myo,action
52,Not
51,Not
52,Not
55,Not
57,Not
58,Not
57,Not
55,Not
54,Not
54,Not
56,Not
58,Not
56,Not
56,Not
55,Not
54,Not
52,Not
51,Not
52,Not
56,Not
56,Not
56,Not
55,Not
53,Not
53,Not
54,Not
55,Not
53,Not
52,Not
52,Not
53,Not
56,Not
57,Not
59,Not
61,Not
58,Not
57,Not
59,Not
59,Not
59,Not
58,Not
59,Not
61,Not
61,Not
59,Not
61,Not
61,Not
61,Not
60,Not
59,Not
59,Not
58,Not
57,Not
56,Not
54,Not
56,Not
56,Not
56,Not
55,Not
54,Not
55,Not
55,Not
54,Not
54,Not
54,Not
55,Not
54,Not
54,Not
53,Not
54,Not
54,Not
55,Not
55,Not
55,Not
57,Not
59,Not
60,Not
58,Not
57,Not
55,Not
55,Not
57,Not
57,Not
56,Not
53,Not
52,Not
51,Not
50,Not
53,Not
54,Not
55,Not
54,Not
55,Not
54,Not
57,Not
59,Not
57,Not
55,Not
55,Not
53,Not
54,Not
53,Not
53,Not
53,Not
54,Not
54,Not
55,Not
54,Not
53,Not
55,Not
56,Not
56,Not
55,Not
54,Not
53,Not
51,Not
54,Not
53,Not
53,Not
53,Not
53,Not
52,Not
52,Not
54,Not
55,Not
57,Not
58,Not
58,Not
56,Not
54,Not
55,Not
57,Not
57,Not
55,Not
53,Not
53,Not
51,Not
52,Not
51,Not
51,Not
53,Not
53,Not
51,Not
51,Not
52,Not
50,Not
48,Not
47,Not
47,Not
45,Not
48,Not
50,Not
50,Not
49,Not
48,Not
46,Not
44,Not
44,Not
46,Not
48,Not
47,Not
46,Not
46,Not
45,Not
44,Not
44,Not
44,Not
42,Not
41,Not
41,Not
42,Not
41,Not
42,Not
41,Not
40,Not
40,Not
40,Not
41,Not
42,Not
40,Not
41,Not
43,Not
42,Not
42,Not
42,Not
41,Not
40,Not
41,Not
42,Not
43,Not
42,Not
41,Not
40,Not
39,Not
38,Not
39,Not
42,Not
44,Not
43,Not
42,Not
41,Not
42,Not
42,Not
42,Not
41,Not
39,Not
41,Not
41,Not
41,Not
40,Not
43,Not
45,Not
44,Not
42,Not
39,Not
39,Not
39,Not
39,Not
38,Not
37,Not
37,Not
38,Not
38,Not
36,Not
35,Not
35,Not
33,Not
32,Not
32,Not
34,Not
35,Not
36,Not
36,Not
35,Not
35,Not
35,Not
34,Not
34,Not
33,Not
34,Not
35,Not
35,Not
35,Not
37,Not
36,Not
34,Not
33,Not
32,Not
32,Not
34,Not
35,Not
33,Not
32,Not
31,Not
32,Not
31,Not
32,Not
32,Not
34,Not
35,Not
34,Not
33,Not
33,Not
34,Not
35,Not
37,Not
37,Not
36,Not
37,Not
37,Not
35,Not
36,Not
38,Not
38,Not
36,Not
35,Not
35,Not
35,Not
35,Not
34,Not
34,Not
33,Not
33,Not
33,Not
35,Not
35,Not
34,Not
36,Not
36,Not
35,Not
35,Not
36,Not
40,Not
39,Not
37,Not
36,Not
36,Not
38,Not
39,Not
38,Not
37,Not
37,Not
36,Not
36,Not
34,Not
35,Not
33,Not
32,Not
32,Not
33,Not
33,Not
32,Not
32,Not
32,Not
32,Not
34,Not
32,Not
31,Not
31,Not
31,Not
30,Not
30,Not
29,Not
29,Not
28,Not
26,Not
27,Not
27,Not
29,Not
27,Not
