myo,action
63,Not
62,Not
62,Not
62,Not
64,Not
64,Not
65,Not
63,Not
62,Not
62,Not
63,Not
63,Not
61,Not
59,Not
60,Not
60,Not
59,Not
60,Not
62,Not
62,Not
63,Not
61,Not
61,Not
64,Not
65,Not
64,Not
63,Not
62,Not
62,Not
65,Not
65,Not
66,Not
64,Not
63,Not
64,Not
63,Not
63,Not
62,Not
63,Not
61,Not
63,Not
63,Not
63,Not
63,Not
63,Not
62,Not
62,Not
62,Not
61,Not
60,Not
60,Not
60,Not
59,Not
61,Not
61,Not
61,Not
62,Not
62,Not
61,Not
61,Not
62,Not
65,Not
66,Not
64,Not
63,Not
63,Not
63,Not
64,Not
63,Not
63,Not
62,Not
61,Not
63,Not
63,Not
62,Not
61,Not
61,Not
62,Not
62,Not
61,Not
59,Not
58,Not
58,Not
61,Not
63,Not
64,Not
64,Not
63,Not
63,Not
62,Not
62,Not
62,Not
64,Not
64,Not
63,Not
61,Not
60,Not
60,Not
60,Not
59,Not
58,Not
58,Not
60,Not
60,Not
60,Not
61,Not
61,Not
63,Not
64,Not
64,Not
64,Not
64,Not
63,Not
61,Not
60,Not
62,Not
64,Not
63,Not
61,Not
60,Not
60,Not
60,Not
59,Not
59,Not
61,Not
58,Not
59,Not
60,Not
62,Not
65,Not
66,Not
66,Not
65,Not
63,Not
63,Not
62,Not
61,Not
61,Not
61,Not
62,Not
62,Not
61,Not
60,Not
60,Not
60,Not
60,Not
61,Not
60,Not
60,Not
60,Not
59,Not
59,Not
59,Not
60,Not
63,Not
61,Not
61,Not
61,Not
62,Not
62,Not
62,Not
62,Not
61,Not
60,Not
61,Not
63,Not
63,Not
63,Not
63,Not
63,Not
61,Not
61,Not
62,Not
63,Not
62,Not
62,Not
61,Not
61,Not
60,Not
60,Not
59,Not
60,Not
60,Not
58,Not
57,Not
56,Not
57,Not
55,Not
56,Not
57,Not
58,Not
59,Not
59,Not
60,Not
59,Not
59,Not
60,Not
60,Not
62,Not
61,Not
61,Not
61,Not
61,Not
59,Not
60,Not
59,Not
58,Not
58,Not
57,Not
57,Not
56,Not
57,Not
57,Not
59,Not
59,Not
59,Not
60,Not
62,Not
62,Not
60,Not
61,Not
62,Not
65,Not
64,Not
64,Not
63,Not
64,Not
66,Not
64,Not
64,Not
63,Not
63,Not
62,Not
61,Not
62,Not
60,Not
60,Not
60,Not
60,Not
61,Not
61,Not
61,Not
61,Not
62,Not
62,Not
63,Not
62,Not
60,Not
61,Not
61,Not
61,Not
62,Not
60,Not
57,Not
56,Not
57,Not
56,Not
56,Not
59,Not
60,Not
60,Not
59,Not
58,Not
58,Not
59,Not
60,Not
61,Not
63,Not
62,Not
62,Not
60,Not
59,Not
59,Not
59,Not
62,Not
63,Not
62,Not
59,Not
58,Not
59,Not
56,Not
56,Not
59,Not
58,Not
58,Not
59,Not
58,Not
59,Not
59,Not
60,Not
58,Not
58,Not
58,Not
59,Not
60,Not
61,Not
60,Not
60,Not
60,Not
59,Not
59,Not
60,Not
62,Not
61,Not
61,Not
58,Not
58,Not
60,Not
60,Not
59,Not
59,Not
57,Not
56,Not
57,Not
57,Not
58,Not
56,Not
56,Not
55,Not
53,Not
52,Not
55,Not
57,Not
56,Not
56,Not
56,Not
57,Not
58,Not
57,Not
57,Not
58,Not
59,Not
59,Not
58,Not
58,Not
60,Not
61,Not
60,Not
58,Not
57,Not
56,Not
56,Not
57,Not
57,Not
57,Not
57,Not
56,Not
53,Not
53,Not
53,Not
55,Not
54,Not
54,Not
56,Not
58,Not
60,Not
60,Not
58,Not
58,Not
57,Not
56,Not
58,Not
57,Not
58,Not
57,Not
57,Not
56,Not
55,Not
55,Not
57,Not
57,Not
57,Not
56,Not
56,Not
58,Not
57,Not
57,Not
57,Not
56,Not
56,Not
57,Not
58,Not
59,Not
59,Not
58,Not
58,Not
57,Not
55,Not
55,Not
54,Not
53,Not
54,Not
54,Not
55,Not
55,Not
55,Not
54,Not
54,Not
56,Not
57,Not
57,Not
58,Not
58,Not
57,Not
56,Not
57,Not
56,Not
56,Not
56,Not
56,Not
54,Not
53,Not
52,Not
54,Not
55,Not
55,Not
54,Not
55,Not
58,Not
58,Not
58,Not
58,Not
58,Not
57,Not
56,Not
54,Not
53,Not
53,Not
53,Not
54,Not
55,Not
52,Not
52,Not
54,Not
56,Not
55,Not
53,Not
53,Not
53,Not
53,Not
54,Not
55,Not
55,Not
56,Not
55,Not
54,Not
55,Not
56,Not
56,Not
56,Not
56,Not
55,Not
54,Not
52,Not
51,Not
50,Not
50,Not
50,Not
51,Not
52,Not
51,Not
51,Not
52,Not
53,Not
54,Not
56,Not
54,Not
53,Not
54,Not
54,Not
53,Not
52,Not
50,Not
49,Not
49,Not
52,Not
51,Not
51,Not
52,Not
52,Not
51,Not
50,Not
50,Not
49,Not
51,Not
50,Not
50,Not
50,Not
52,Not
54,Not
53,Not
54,Not
52,Not
50,Not
53,Not
54,Not
54,Not
53,Not
53,Not
54,Not
56,Flex
55,Flex
56,Flex
56,Flex
53,Flex
52,Flex
52,Flex
53,Flex
53,Flex
55,Flex
54,Flex
53,Flex
56,Flex
57,Flex
57,Flex
55,Flex
53,Flex
54,Flex
55,Flex
57,Flex
56,Flex
57,Flex
56,Flex
56,Flex
57,Flex
56,Flex
56,Flex
57,Flex
56,Flex
56,Flex
54,Flex
54,Flex
55,Flex
55,Flex
55,Flex
55,Flex
55,Flex
55,Flex
56,Flex
56,Flex
58,Flex
57,Flex
58,Flex
59,Flex
58,Flex
56,Flex
54,Flex
55,Flex
57,Flex
57,Flex
55,Flex
54,Flex
54,Flex
54,Flex
56,Flex
58,Flex
58,Flex
58,Flex
61,Flex
59,Flex
58,Flex
58,Flex
58,Flex
58,Flex
58,Flex
58,Flex
58,Flex
58,Flex
58,Flex
57,Flex
57,Flex
56,Flex
55,Flex
53,Flex
53,Flex
52,Flex
50,Flex
50,Flex
51,Flex
49,Flex
49,Flex
49,Flex
49,Flex
52,Flex
53,Flex
52,Flex
52,Flex
51,Flex
52,Flex
51,Flex
52,Flex
53,Flex
51,Flex
51,Flex
50,Flex
50,Flex
51,Flex
50,Flex
50,Flex
50,Flex
48,Flex
48,Flex
47,Flex
46,Flex
45,Flex
45,Flex
44,Flex
43,Flex
44,Flex
45,Flex
46,Flex
46,Flex
48,Flex
46,Flex
46,Flex
46,Flex
46,Flex
45,Flex
45,Flex
47,Flex
47,Flex
47,Flex
47,Flex
45,Flex
43,Flex
42,Flex
41,Flex
44,Flex
45,Flex
46,Flex
45,Flex
45,Flex
44,Flex
44,Flex
45,Flex
47,Flex
48,Flex
48,Flex
49,Flex
49,Flex
49,Flex
48,Flex
49,Flex
48,Flex
48,Flex
47,Flex
47,Flex
47,Flex
46,Flex
46,Flex
45,Flex
44,Flex
45,Flex
45,Flex
43,Flex
45,Flex
45,Flex
46,Flex
48,Flex
49,Flex
49,Flex
48,Flex
49,Flex
52,Flex
52,Flex
52,Flex
54,Flex
55,Flex
53,Flex
53,Flex
52,Flex
51,Flex
50,Flex
51,Flex
51,Flex
48,Flex
47,Flex
48,Flex
48,Flex
47,Flex
46,Flex
46,Flex
44,Flex
45,Flex
46,Flex
47,Flex
49,Flex
51,Flex
52,Flex
52,Flex
53,Flex
53,Flex
51,Flex
50,Flex
51,Flex
49,Flex
48,Flex
48,Flex
48,Flex
47,Flex
47,Flex
48,Flex
48,Flex
48,Flex
49,Flex
48,Flex
46,Flex
48,Flex
49,Flex
50,Flex
51,Flex
53,Flex
52,Flex
51,Flex
50,Flex
50,Flex
50,Flex
50,Flex
50,Flex
50,Flex
51,Flex
50,Flex
50,Flex
48,Flex
48,Flex
49,Flex
48,Flex
47,Flex
45,Flex
46,Flex
49,Flex
48,Flex
48,Flex
47,Flex
48,Flex
49,Flex
48,Flex
49,Flex
49,Flex
49,Flex
49,Flex
48,Flex
48,Flex
47,Flex
47,Flex
44,Flex
45,Flex
46,Flex
45,Flex
47,Flex
48,Flex
46,Flex
45,Flex
45,Flex
47,Flex
49,Flex
50,Flex
49,Flex
49,Flex
48,Flex
48,Flex
48,Flex
50,Flex
48,Flex
47,Flex
46,Flex
48,Flex
49,Flex
50,Flex
51,Flex
51,Flex
50,Flex
48,Flex
48,Flex
49,Flex
48,Flex
49,Flex
51,Flex
51,Flex
52,Flex
50,Flex
48,Flex
49,Flex
48,Flex
47,Flex
47,Flex
46,Flex
45,Flex
45,Flex
46,Flex
47,Flex
48,Flex
49,Flex
47,Flex
48,Flex
49,Flex
49,Flex
50,Flex
50,Flex
48,Flex
48,Flex
48,Flex
48,Flex
47,Flex
46,Flex
47,Flex
48,Flex
49,Flex
48,Flex
47,Flex
45,Flex
44,Flex
46,Flex
47,Flex
46,Flex
46,Flex
46,Flex
47,Flex
46,Flex
46,Flex
47,Flex
49,Flex
49,Flex
47,Flex
46,Flex
47,Flex
48,Flex
49,Flex
49,Flex
50,Flex
50,Flex
47,Flex
46,Flex
46,Flex
45,Flex
46,Flex
46,Flex
45,Flex
44,Flex
43,Flex
42,Flex
42,Flex
41,Flex
42,Flex
42,Flex
43,Flex
43,Flex
43,Flex
44,Flex
45,Flex
46,Flex
47,Flex
47,Flex
45,Flex
45,Flex
46,Flex
46,Flex
46,Flex
45,Flex
45,Flex
45,Flex
45,Flex
44,Flex
45,Flex
45,Flex
43,Flex
43,Flex
41,Flex
41,Flex
43,Flex
44,Flex
45,Flex
46,Flex
47,Flex
47,Flex
46,Flex
45,Flex
45,Flex
46,Flex
45,Flex
45,Flex
45,Flex
47,Flex
47,Flex
47,Flex
47,Flex
47,Flex
46,Flex
45,Flex
45,Flex
44,Flex
44,Flex
46,Flex
45,Flex
45,Flex
44,Flex
42,Flex
44,Flex
46,Flex
46,Flex
45,Flex
44,Flex
44,Flex
44,Flex
43,Flex
42,Flex
43,Flex
44,Flex
46,Flex
48,Flex
47,Flex
46,Flex
46,Flex
48,Flex
48,Flex
48,Flex
49,Flex
50,Flex
51,Flex
51,Flex
53,Flex
50,Flex
49,Flex
47,Flex
46,Flex
46,Flex
48,Flex
48,Flex
49,Flex
50,Flex
49,Flex
47,Flex
46,Flex
46,Flex
44,Flex
46,Flex
47,Flex
47,Flex
46,Flex
47,Flex
48,Flex
48,Flex
47,Flex
46,Flex
47,Flex
47,Flex
48,Flex
47,Flex
47,Flex
49,Flex
48,Flex
46,Flex
44,Flex
43,Flex
46,Flex
48,Flex
48,Flex
47,Flex
47,Flex
48,Flex
48,Flex
48,Flex
47,Flex
48,Flex
49,Flex
49,Flex
50,Flex
50,Flex
48,Flex
47,Flex
46,Flex
46,Flex
46,Flex
45,Flex
45,Flex
45,Flex
45,Flex
45,Flex
43,Flex
44,Flex
47,Flex
48,Flex
47,Flex
47,Flex
49,Flex
50,Flex
50,Flex
50,Flex
50,Flex
51,Flex
50,Flex
50,Flex
49,Flex
48,Flex
51,Flex
52,Flex
51,Flex
50,Flex
48,Flex
47,Flex
47,Flex
47,Not
47,Not
49,Not
50,Not
49,Not
48,Not
49,Not
50,Not
53,Not
53,Not
53,Not
52,Not
50,Not
49,Not
48,Not
48,Not
50,Not
52,Not
50,Not
48,Not
48,Not
51,Not
50,Not
50,Not
51,Not
50,Not
49,Not
50,Not
52,Not
51,Not
50,Not
51,Not
51,Not
52,Not
53,Not
52,Not
52,Not
50,Not
49,Not
48,Not
48,Not
49,Not
50,Not
50,Not
52,Not
53,Not
54,Not
52,Not
52,Not
51,Not
51,Not
51,Not
53,Not
54,Not
53,Not
54,Not
56,Not
55,Not
53,Not
52,Not
51,Not
51,Not
49,Not
49,Not
48,Not
49,Not
50,Not
49,Not
49,Not
52,Not
52,Not
53,Not
53,Not
51,Not
52,Not
52,Not
52,Not
53,Not
54,Not
54,Not
56,Not
54,Not
52,Not
51,Not
53,Not
52,Not
52,Not
51,Not
51,Not
50,Not
48,Not
49,Not
50,Not
52,Not
52,Not
52,Not
51,Not
51,Not
52,Not
54,Not
54,Not
52,Not
51,Not
50,Not
50,Not
51,Not
50,Not
51,Not
52,Not
51,Not
51,Not
51,Not
52,Not
52,Not
51,Not
50,Not
50,Not
50,Not
53,Not
54,Not
54,Not
53,Not
54,Not
53,Not
52,Not
51,Not
51,Not
51,Not
52,Not
52,Not
52,Not
53,Not
51,Not
50,Not
51,Not
49,Not
49,Not
49,Not
49,Not
51,Not
49,Not
48,Not
48,Not
49,Not
50,Not
51,Not
51,Not
51,Not
50,Not
49,Not
50,Not
49,Not
49,Not
51,Not
51,Not
51,Not
51,Not
51,Not
49,Not
48,Not
48,Not
48,Not
48,Not
47,Not
48,Not
50,Not
49,Not
48,Not
48,Not
49,Not
50,Not
49,Not
49,Not
50,Not
51,Not
53,Not
53,Not
52,Not
50,Not
51,Not
51,Not
50,Not
49,Not
48,Not
49,Not
50,Not
47,Not
46,Not
48,Not
47,Not
47,Not
46,Not
46,Not
45,Not
47,Not
47,Not
47,Not
45,Not
45,Not
47,Not
49,Not
50,Not
47,Not
48,Not
50,Not
48,Not
46,Not
45,Not
46,Not
45,Not
46,Not
45,Not
45,Not
45,Not
44,Not
43,Not
45,Not
45,Not
46,Not
47,Not
47,Not
46,Not
45,Not
45,Not
45,Not
47,Not
48,Not
48,Not
47,Not
46,Not
47,Not
47,Not
48,Not
48,Not
46,Not
45,Not
44,Not
45,Not
45,Not
46,Not
46,Not
46,Not
48,Not
48,Not
48,Not
47,Not
48,Not
48,Not
49,Not
50,Not
50,Not
48,Not
46,Not
45,Not
44,Not
44,Not
45,Not
44,Not
45,Not
44,Not
45,Not
47,Not
47,Not
47,Not
47,Not
46,Not
46,Not
46,Not
45,Not
47,Not
48,Not
47,Not
46,Not
44,Not
44,Not
44,Not
45,Not
46,Not
46,Not
46,Not
46,Not
46,Not
45,Not
44,Not
42,Not
42,Not
41,Not
44,Not
46,Not
47,Not
48,Not
49,Not
48,Not
48,Not
48,Not
50,Not
49,Not
49,Not
47,Not
45,Not
45,Not
45,Not
44,Not
44,Not
44,Not
45,Not
46,Not
44,Not
42,Not
44,Not
44,Not
44,Not
44,Not
43,Not
45,Not
47,Not
46,Not
44,Not
45,Not
46,Not
49,Not
48,Not
48,Not
46,Not
44,Not
44,Not
43,Not
42,Not
42,Not
42,Not
41,Not
39,Not
41,Not
44,Not
44,Not
46,Not
46,Not
45,Not
43,Not
44,Not
45,Not
45,Not
44,Not
45,Not
45,Not
46,Not
47,Not
46,Not
46,Not
46,Not
45,Not
45,Not
54,Not
68,Not
76,Not
80,Not
90,Not
106,Not
117,Not
146,Not
152,Not
152,Not
149,Not
145,Not
148,Not
150,Not
154,Not
163,Not
163,Not
159,Not
161,Not
153,Not
161,Not
169,Not
178,Not
184,Not
186,Not
201,Not
207,Not
195,Not
186,Not
189,Not
194,Not
197,Not
188,Not
186,Not
177,Not
172,Not
176,Not
175,Not
167,Not
167,Not
172,Not
172,Not
167,Not
163,Not
160,Not
157,Not
150,Not

