myo,action
36,Not
133,Not
133,Not
136,Not
137,Not
136,Not
134,Not
132,Not
132,Not
134,Not
133,Not
131,Not
133,Not
131,Not
131,Not
133,Not
133,Not
133,Not
131,Not
129,Not
129,Not
128,Not
131,Not
131,Not
131,Not
132,Not
127,Not
127,Not
129,Not
130,Not
132,Not
132,Not
131,Not
129,Not
126,Not
127,Not
125,Not
122,Not
121,Not
123,Not
124,Not
125,Not
129,Not
131,Not
133,Not
132,Not
132,Not
128,Not
127,Not
127,Not
125,Not
128,Not
126,Not
127,Not
129,Not
126,Not
125,Not
129,Not
130,Not
132,Not
132,Not
132,Not
131,Not
132,Not
132,Not
130,Not
126,Not
125,Not
128,Not
131,Not
130,Not
128,Not
129,Not
130,Not
132,Not
135,Not
135,Not
133,Not
131,Not
133,Not
134,Not
134,Not
134,Not
133,Not
132,Not
129,Not
127,Not
131,Not
133,Not
136,Not
136,Not
135,Not
135,Not
134,Not
136,Not
135,Not
133,Not
132,Not
132,Not
133,Not
134,Not
133,Not
135,Not
130,Not
127,Not
130,Not
133,Not
134,Not
135,Not
133,Not
132,Not
133,Not
132,Not
131,Not
132,Not
131,Not
132,Not
132,Not
130,Not
130,Not
130,Not
130,Not
130,Not
126,Not
125,Not
127,Not
129,Not
128,Not
130,Not
130,Not
130,Not
131,Not
130,Not
129,Not
127,Not
127,Not
125,Not
124,Not
127,Not
127,Not
124,Not
124,Not
129,Not
127,Not
126,Not
127,Not
126,Not
126,Not
126,Not
126,Not
125,Not
123,Not
122,Not
121,Not
122,Not
124,Not
124,Not
121,Not
123,Not
125,Not
127,Not
127,Not
124,Not
121,Not
123,Not
123,Not
121,Not
123,Not
121,Not
123,Not
122,Not
120,Not
119,Not
120,Not
120,Not
120,Not
121,Not
120,Not
119,Not
117,Not
116,Not
116,Not
119,Not
121,Not
119,Not
120,Not
122,Not
120,Not
119,Not
120,Not
118,Not
120,Not
122,Not
122,Not
122,Not
123,Not
122,Not
120,Not
119,Not
117,Not
113,Not
114,Not
116,Not
118,Not
118,Not
116,Not
116,Not
118,Not
120,Not
122,Not
123,Not
122,Not
120,Not
120,Not
122,Not
122,Not
120,Not
117,Not
118,Not
116,Not
119,Not
119,Not
116,Not
115,Not
115,Not
116,Not
119,Not
120,Not
119,Not
121,Not
123,Not
122,Not
122,Not
117,Not
116,Not
120,Not
121,Not
122,Not
121,Not
118,Not
119,Not
120,Not
118,Not
116,Not
116,Not
118,Not
118,Not
119,Not
120,Not
120,Not
120,Not
119,Not
118,Not
116,Not
118,Not
119,Not
119,Not
118,Not
118,Not
115,Not
117,Not
116,Not
116,Not
115,Not
117,Not
117,Not
120,Not
122,Not
121,Not
118,Not
118,Not
115,Not
117,Not
117,Not
115,Not
115,Not
116,Not
116,Not
114,Not
113,Not
114,Not
116,Not
118,Not
117,Not
116,Not
116,Not
117,Not
117,Not
117,Not
116,Not
115,Not
111,Not
111,Not
112,Not
114,Not
117,Not
117,Not
116,Not
112,Not
113,Not
113,Not
115,Not
115,Not
115,Not
115,Not
113,Not
110,Not
112,Not
115,Not
114,Not
113,Not
112,Not
113,Not
113,Not
112,Not
113,Not
113,Not
113,Not
114,Not
113,Not
115,Not
114,Not
112,Not
112,Not
113,Not
114,Not
116,Not
115,Not
116,Not
113,Not
111,Not
113,Not
114,Not
115,Not
114,Not
113,Not
114,Not
113,Not
113,Not
112,Not
111,Not
112,Not
112,Not
113,Not
113,Not
114,Not
117,Not
117,Not
116,Not
116,Not
115,Not
115,Not
115,Not
115,Not
114,Not
112,Not
112,Not
110,Not
112,Not
113,Not
114,Not
112,Not
112,Not
112,Not
111,Not
112,Not
116,Not
118,Not
117,Not
115,Not
114,Not
117,Not
115,Not
113,Not
114,Not
116,Not
115,Not
114,Not
114,Not
114,Not
114,Not
113,Not
112,Not
114,Not
111,Not
108,Not
109,Not
114,Not
117,Not
117,Not
113,Not
114,Not
115,Not
114,Not
112,Not
110,Not
110,Not
111,Not
112,Not
114,Not
113,Not
113,Not
113,Not
112,Not
111,Not
111,Not
111,Not
111,Not
111,Not
113,Not
112,Not
110,Not
107,Not
107,Not
109,Not
109,Not
110,Not
109,Not
107,Not
106,Not
108,Not
109,Not
107,Not
107,Not
105,Not
109,Not
108,Not
103,Not
101,Not
101,Not
102,Not
106,Not
105,Not
105,Not
105,Not
108,Not
110,Not
112,Not
111,Not
114,Not
113,Not
109,Not
106,Not
108,Not
110,Not
110,Not
106,Not
106,Not
106,Not
107,Not
107,Not
106,Not
104,Not
103,Not
105,Not
109,Not
109,Not
108,Not
107,Not
108,Not
110,Not
107,Not
106,Not
103,Not
106,Not
106,Not
105,Not
105,Not
104,Not
104,Not
105,Not
104,Not
102,Not
101,Not
103,Not
103,Not
103,Not
103,Not
106,Not
107,Not
107,Not
106,Not
107,Not
106,Not
105,Not
105,Not
103,Not
101,Not
101,Not
100,Not
101,Not
102,Not
101,Not
101,Not
99,Not
98,Not
98,Not
103,Not
105,Not
104,Not
102,Flex
101,Flex
99,Flex
101,Flex
101,Flex
103,Flex
105,Flex
102,Flex
98,Flex
99,Flex
99,Flex
100,Flex
102,Flex
102,Flex
103,Flex
102,Flex
100,Flex
98,Flex
99,Flex
100,Flex
101,Flex
101,Flex
100,Flex
99,Flex
100,Flex
100,Flex
99,Flex
100,Flex
98,Flex
100,Flex
100,Flex
101,Flex
102,Flex
104,Flex
104,Flex
102,Flex
102,Flex
99,Flex
99,Flex
99,Flex
99,Flex
99,Flex
97,Flex
97,Flex
99,Flex
97,Flex
97,Flex
96,Flex
95,Flex
96,Flex
96,Flex
97,Flex
98,Flex
100,Flex
101,Flex
100,Flex
101,Flex
99,Flex
99,Flex
98,Flex
98,Flex
99,Flex
97,Flex
95,Flex
96,Flex
97,Flex
99,Flex
96,Flex
95,Flex
96,Flex
96,Flex
96,Flex
99,Flex
97,Flex
94,Flex
94,Flex
98,Flex
99,Flex
99,Flex
100,Flex
100,Flex
101,Flex
99,Flex
98,Flex
99,Flex
100,Flex
98,Flex
98,Flex
99,Flex
98,Flex
97,Flex
99,Flex
97,Flex
99,Flex
98,Flex
96,Flex
96,Flex
96,Flex
97,Flex
97,Flex
98,Flex
98,Flex
98,Flex
100,Flex
101,Flex
101,Flex
100,Flex
101,Flex
100,Flex
100,Flex
98,Flex
96,Flex
95,Flex
94,Flex
96,Flex
95,Flex
96,Flex
95,Flex
94,Flex
92,Flex
93,Flex
96,Flex
98,Flex
98,Flex
98,Flex
97,Flex
97,Flex
98,Flex
97,Flex
97,Flex
97,Flex
100,Flex
97,Flex
97,Flex
97,Flex
96,Flex
96,Flex
96,Flex
95,Flex
92,Flex
93,Flex
95,Flex
94,Flex
94,Flex
95,Flex
98,Flex
101,Flex
100,Flex
99,Flex
98,Flex
99,Flex
99,Flex
99,Flex
99,Flex
98,Flex
97,Flex
97,Flex
96,Flex
96,Flex
95,Flex
96,Flex
97,Flex
96,Flex
97,Flex
98,Flex
100,Flex
98,Flex
98,Flex
97,Flex
96,Flex
98,Flex
100,Flex
101,Flex
101,Flex
98,Flex
96,Flex
93,Flex
96,Flex
97,Flex
99,Flex
100,Flex
99,Flex
102,Flex
99,Flex
96,Flex
96,Flex
96,Flex
97,Flex
97,Flex
97,Flex
94,Flex
94,Flex
96,Flex
98,Flex
98,Flex
98,Flex
97,Flex
96,Flex
93,Flex
92,Flex
94,Flex
96,Flex
96,Flex
97,Flex
96,Flex
95,Flex
95,Flex
96,Flex
97,Flex
95,Flex
92,Flex
89,Flex
91,Flex
92,Flex
94,Flex
95,Flex
95,Flex
95,Flex
94,Flex
94,Flex
93,Flex
94,Flex
95,Flex
96,Flex
97,Flex
98,Flex
96,Flex
93,Flex
92,Flex
94,Flex
96,Flex
97,Flex
96,Flex
97,Flex
97,Flex
94,Flex
92,Flex
92,Flex
95,Flex
95,Flex
93,Flex
90,Flex
89,Flex
91,Flex
96,Flex
95,Flex
95,Flex
95,Flex
94,Flex
94,Flex
95,Flex
96,Flex
96,Flex
95,Flex
93,Flex
90,Flex
90,Flex
89,Flex
88,Flex
90,Flex
91,Flex
91,Flex
91,Flex
91,Flex
92,Flex
94,Flex
94,Flex
94,Flex
94,Flex
93,Flex
92,Flex
91,Flex
91,Flex
93,Flex
91,Flex
90,Flex
89,Flex
88,Flex
89,Flex
92,Flex
92,Flex
90,Flex
91,Flex
92,Flex
92,Flex
92,Flex
94,Flex
94,Flex
95,Flex
94,Flex
93,Flex
93,Flex
92,Flex
93,Flex
93,Flex
93,Flex
96,Flex
94,Flex
91,Flex
91,Flex
90,Flex
97,Flex
101,Flex
96,Flex
97,Flex
101,Flex
106,Flex
120,Flex
147,Flex
151,Flex
165,Flex
166,Flex
171,Flex
167,Flex
169,Flex
168,Flex
200,Flex
222,Flex
233,Flex
238,Flex
238,Flex
229,Flex
230,Flex
250,Flex
270,Flex
265,Flex
259,Flex
272,Flex
272,Flex
282,Flex
278,Flex
266,Flex
264,Flex
274,Flex
266,Flex
260,Flex
250,Flex
242,Flex
238,Flex
239,Flex
228,Flex
216,Flex
210,Flex
215,Flex
205,Flex
222,Flex
217,Flex
225,Flex
237,Flex
232,Flex
221,Flex
215,Flex
215,Flex
213,Flex
225,Flex
217,Flex
214,Flex
223,Flex
215,Flex
222,Flex
232,Flex
229,Flex
249,Flex
249,Flex
244,Flex
236,Flex
234,Flex
230,Flex
241,Flex
241,Flex
237,Flex
233,Flex
233,Flex
222,Flex
218,Flex
222,Flex
213,Flex
215,Flex
205,Flex
203,Flex
200,Flex
194,Flex
187,Flex
192,Flex
191,Flex
199,Flex
216,Flex
227,Flex
226,Flex
225,Flex
222,Flex
214,Flex
220,Flex
218,Flex
210,Flex
204,Flex
205,Flex
218,Flex
219,Flex
208,Flex
211,Flex
217,Flex
213,Flex
218,Flex
239,Flex
234,Flex
222,Flex
215,Flex
213,Flex
212,Flex
213,Flex
213,Flex
203,Flex
201,Flex
202,Flex
193,Flex
205,Flex
200,Flex
194,Flex
198,Flex
190,Flex
193,Flex
192,Flex
191,Flex
196,Flex
199,Flex
223,Flex
219,Flex
216,Flex
227,Flex
224,Flex
217,Flex
220,Flex
224,Flex
225,Flex
221,Flex
230,Flex
226,Flex
230,Flex
225,Flex
235,Flex
227,Flex
223,Flex
223,Flex
221,Flex
211,Flex
212,Flex
214,Flex
215,Flex
206,Flex
217,Flex
208,Flex
213,Flex
215,Flex
227,Flex
218,Flex
213,Flex
216,Flex
209,Flex
205,Flex
208,Flex
211,Flex
215,Flex
206,Flex
208,Flex
209,Flex
206,Flex
213,Flex
214,Flex
206,Flex
200,Flex
199,Flex
195,Flex
194,Flex
205,Flex
208,Flex
199,Flex
206,Flex
201,Flex
198,Flex
203,Flex
197,Flex
198,Flex
189,Flex
189,Flex
193,Flex
201,Flex
195,Flex
193,Flex
190,Flex
182,Flex
193,Flex
209,Flex
209,Flex
200,Flex
201,Flex
201,Flex
203,Flex
197,Flex
197,Flex
208,Flex
210,Not
209,Not
198,Not
197,Not
189,Not
186,Not
183,Not
175,Not
170,Not
173,Not
173,Not
169,Not
164,Not
160,Not
159,Not
160,Not
165,Not
163,Not
161,Not
161,Not
171,Not
162,Not
158,Not
155,Not
148,Not
143,Not
146,Not
148,Not
146,Not
141,Not
144,Not
144,Not
148,Not
143,Not
144,Not
143,Not
147,Not
147,Not
147,Not
149,Not
151,Not
153,Not
155,Not
150,Not
150,Not
155,Not
153,Not
146,Not
141,Not
145,Not
142,Not
144,Not
139,Not
135,Not
129,Not
128,Not
147,Not
142,Not
138,Not
140,Not
140,Not
143,Not
139,Not
138,Not
132,Not
129,Not
137,Not
139,Not
136,Not
146,Not
143,Not
140,Not
136,Not
137,Not
130,Not
129,Not
137,Not
132,Not
127,Not
124,Not
130,Not
134,Not
134,Not
135,Not
134,Not
128,Not
123,Not
121,Not
124,Not
122,Not
117,Not
119,Not
118,Not
118,Not
119,Not
118,Not
115,Not
128,Not
132,Not
131,Not
129,Not
124,Not
120,Not
114,Not
109,Not
119,Not
120,Not
121,Not
126,Not
132,Not
139,Not
142,Not
143,Not
142,Not
139,Not
132,Not
128,Not
127,Not
122,Not
117,Not
114,Not
118,Not
116,Not
117,Not
113,Not
112,Not
108,Not
104,Not
102,Not
100,Not
100,Not
105,Not
105,Not
103,Not
107,Not
108,Not
118,Not
116,Not
115,Not
114,Not
113,Not
117,Not
115,Not
122,Not
122,Not
127,Not
121,Not
121,Not
116,Not
117,Not
121,Not
117,Not
116,Not
110,Not
112,Not
111,Not
111,Not
116,Not
118,Not
116,Not
127,Not
124,Not
123,Not
116,Not
121,Not
117,Not
121,Not
118,Not
116,Not
113,Not
112,Not
110,Not
107,Not
106,Not
103,Not
102,Not
101,Not
103,Not
101,Not
101,Not
100,Not
107,Not
106,Not
102,Not
101,Not
96,Not
93,Not
92,Not
89,Not
87,Not
89,Not
87,Not
85,Not
86,Not
85,Not
86,Not
84,Not
85,Not
86,Not
84,Not
82,Not
81,Not
82,Not
88,Not
88,Not
86,Not
86,Not
83,Not
82,Not
82,Not
80,Not
82,Not
89,Not
93,Not
91,Not
91,Not
90,Not
89,Not
87,Not
93,Not
94,Not
92,Not
92,Not
90,Not
91,Not
92,Not
93,Not
91,Not
91,Not
89,Not
89,Not
88,Not
92,Not
95,Not
96,Not
93,Not
89,Not
88,Not
90,Not
90,Not
88,Not
87,Not
85,Not
84,Not
84,Not
81,Not
82,Not
80,Not
87,Not
91,Not
94,Not
94,Not
101,Not
103,Not
100,Not
99,Not
101,Not
105,Not
104,Not
105,Not
104,Not
101,Not
98,Not
102,Not
103,Not
100,Not
98,Not
98,Not
104,Not
102,Not
104,Not
101,Not
108,Not
108,Not
104,Not
100,Not
99,Not
100,Not
100,Not
105,Not
104,Not
100,Not
99,Not
99,Not
100,Not
98,Not
96,Not
95,Not
94,Not
92,Not
89,Not
88,Not
85,Not
82,Not
84,Not
84,Not
85,Not
90,Not
90,Not
88,Not
85,Not
86,Not
88,Not
86,Not
83,Not
82,Not
85,Not
83,Not
87,Not
91,Not
90,Not
89,Not
89,Not
93,Not
98,Not
101,Not
105,Not
105,Not
102,Not
100,Not
100,Not
101,Not
97,Not
95,Not
95,Not
98,Not
100,Not
100,Not
94,Not
92,Not
88,Not
87,Not
86,Not
91,Not
96,Not
99,Not
97,Not
94,Not
92,Not
98,Not
99,Not
98,Not
101,Not
99,Not
99,Not
103,Not
103,Not
102,Not
102,Not
101,Not
97,Not
93,Not
90,Not
91,Not
92,Not
97,Not
100,Not
97,Not
98,Not
101,Not
104,Not
104,Not
105,Not
100,Not
100,Not
100,Not
100,Not
96,Not
97,Not
102,Not
99,Not
103,Not
106,Not
102,Not
97,Not
96,Not
92,Not
96,Not
94,Not
92,Not
93,Not
91,Not
91,Not
90,Not
91,Not
93,Not
91,Not
89,Not
88,Not
89,Not
90,Not
93,Not
99,Not
95,Not
97,Not
96,Not
93,Not
93,Not
94,Not

