myo,action
3,Not
108,Not
104,Not
101,Not
97,Not
99,Not
95,Not
95,Not
93,Not
89,Not
87,Not
84,Not
80,Not
79,Not
79,Not
76,Not
75,Not
73,Not
73,Not
71,Not
69,Not
69,Not
71,Not
72,Not
71,Not
70,Not
69,Not
68,Not
69,Not
71,Not
71,Not
73,Not
75,Not
72,Not
72,Not
69,Not
70,Not
71,Not
71,Not
70,Not
72,Not
74,Not
77,Not
79,Not
81,Not
82,Not
83,Not
84,Not
85,Not
88,Not
95,Not
95,Not
92,Not
92,Not
92,Not
92,Not
92,Not
92,Not
94,Not
94,Not
94,Not
95,Not
97,Not
99,Not
99,Not
99,Not
99,Not
100,Not
102,Not
103,Not
103,Not
104,Not
105,Not
108,Not
108,Not
106,Not
107,Not
107,Not
106,Not
107,Not
108,Not
109,Not
110,Not
107,Not
104,Not
106,Not
108,Not
108,Not
109,Not
107,Not
105,Not
105,Not
104,Not
103,Not
103,Not
103,Not
102,Not
101,Not
99,Not
99,Not
100,Not
98,Not
95,Not
94,Not
94,Not
94,Not
93,Not
94,Not
93,Not
93,Not
93,Not
92,Not
90,Not
92,Not
92,Not
90,Not
89,Not
89,Not
89,Not
87,Not
87,Not
86,Not
86,Not
85,Not
84,Not
85,Not
84,Not
83,Not
83,Not
82,Not
80,Not
79,Not
77,Not
76,Not
74,Not
75,Not
74,Not
74,Not
73,Not
73,Not
71,Not
70,Not
69,Not
69,Not
70,Not
69,Not
68,Not
67,Not
66,Not
66,Not
66,Not
66,Not
66,Not
64,Not
65,Not
66,Not
64,Not
62,Not
60,Not
59,Not
59,Not
57,Not
56,Not
57,Not
58,Not
58,Not
58,Not
58,Not
58,Not
58,Not
59,Not
61,Not
61,Not
60,Not
59,Not
60,Not
59,Not
58,Not
57,Not
56,Not
54,Not
53,Not
52,Not
51,Not
51,Not
51,Not
51,Not
50,Not
50,Not
49,Not
49,Not
49,Not
50,Not
52,Not
50,Not
50,Not
48,Not
47,Not
47,Not
46,Not
44,Not
43,Not
43,Not
42,Not
40,Not
40,Not
40,Not
39,Not
38,Not
40,Not
40,Not
38,Not
37,Not
37,Not
36,Not
35,Not
36,Not
37,Not
36,Not
39,Not
38,Not
37,Not
36,Not
36,Not
36,Not
34,Not
33,Not
34,Not
34,Not
34,Not
33,Not
31,Not
31,Not
30,Not
31,Not
29,Not
30,Not
32,Not
31,Not
30,Not
30,Not
29,Not
29,Not
29,Not
29,Not
29,Not
28,Not
29,Not
27,Not
28,Not
29,Not
27,Not
27,Not
26,Not
25,Not
25,Not
24,Not
24,Not
24,Not
23,Not
24,Not
23,Not
22,Not
21,Not
21,Not
23,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
22,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
22,Not
24,Not
24,Not
26,Not
26,Not
25,Not
26,Not
25,Not
25,Not
26,Not
26,Not
27,Not
26,Not
26,Not
26,Not
25,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
26,Not
25,Not
26,Not
26,Not
26,Not
26,Not
25,Not
26,Not
26,Not
25,Not
26,Not
26,Not
27,Not
27,Not
25,Not
26,Not
25,Not
24,Not
23,Not
24,Not
24,Not
24,Not
23,Not
23,Not
22,Not
23,Not
24,Not
24,Not
23,Not
23,Not
23,Not
22,Not
23,Not
23,Not
23,Not
23,Not
22,Not
22,Not
23,Not
23,Not
23,Not
23,Not
23,Not
23,Not
24,Not
23,Not
23,Not
23,Not
25,Not
24,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
25,Not
24,Not
24,Not
23,Not
23,Not
25,Not
25,Not
24,Not
24,Not
22,Not
22,Not
22,Not
23,Not
22,Not
22,Not
23,Not
24,Not
27,Not
27,Not
27,Not
27,Not
27,Not
28,Not
28,Not
29,Not
30,Not
32,Not
32,Not
32,Not
31,Not
32,Not
34,Not
35,Not
35,Not
34,Not
34,Not
34,Not
34,Not
34,Not
34,Not
33,Not
32,Not
31,Not
31,Not
30,Not
31,Not
29,Not
29,Not
30,Not
31,Not
31,Not
31,Not
30,Not
29,Not
29,Not
29,Not
28,Not
29,Not
28,Not
29,Not
30,Not
28,Not
28,Not
29,Not
28,Not
28,Not
29,Not
28,Not
27,Not
28,Not
30,Not
29,Not
28,Not
28,Not
27,Not
27,Not
26,Not
26,Not
26,Not
27,Not
27,Not
28,Not
27,Not
29,Not
30,Not
29,Not
28,Not
28,Not
28,Not
28,Not
28,Not
28,Not
27,Not
27,Not
28,Not
27,Not
27,Not
27,Not
28,Not
28,Not
27,Not
28,Not
30,Not
30,Not
31,Not
31,Not
30,Not
30,Not
29,Not
28,Not
27,Not
26,Not
