myo,action
76,Not
178,Not
176,Not
176,Not
176,Not
172,Not
167,Not
163,Not
164,Not
157,Not
160,Not
159,Not
160,Not
155,Not
156,Not
148,Not
146,Not
147,Not
143,Not
146,Not
142,Not
144,Not
144,Not
145,Not
141,Not
135,Not
130,Not
127,Not
129,Not
126,Not
130,Not
123,Not
121,Not
126,Not
129,Not
128,Not
122,Not
117,Not
113,Not
115,Not
117,Not
114,Not
110,Not
105,Not
101,Not
97,Not
92,Not
89,Not
86,Not
84,Not
83,Not
83,Not
81,Not
85,Not
83,Not
82,Not
81,Not
80,Not
83,Not
87,Not
89,Not
94,Not
90,Not
88,Not
87,Not
85,Not
94,Not
95,Not
99,Not
97,Not
96,Not
92,Not
93,Not
101,Not
99,Not
99,Not
97,Not
101,Not
105,Not
106,Not
106,Not
116,Not
128,Not
129,Not
124,Not
118,Not
117,Not
119,Not
116,Not
120,Not
120,Not
126,Not
125,Not
124,Not
125,Not
122,Not
117,Not
117,Not
115,Not
110,Not
109,Not
107,Not
108,Not
106,Not
109,Not
105,Not
112,Not
114,Not
112,Not
111,Not
108,Not
117,Not
119,Not
116,Not
115,Not
120,Not
118,Not
116,Not
114,Not
113,Not
111,Not
106,Not
102,Not
103,Not
102,Not
101,Not
99,Not
100,Not
100,Not
103,Not
102,Not
100,Not
99,Not
99,Not
102,Not
110,Not
106,Not
102,Not
103,Not
107,Not
102,Not
98,Not
96,Not
94,Not
93,Not
91,Not
94,Not
93,Not
89,Not
87,Not
84,Not
85,Not
86,Not
83,Not
86,Not
85,Not
82,Not
82,Not
82,Not
84,Not
89,Not
91,Not
92,Not
93,Not
93,Not
92,Not
89,Not
90,Not
87,Not
87,Not
87,Not
84,Not
83,Not
84,Not
81,Not
82,Not
81,Not
80,Not
79,Not
78,Not
76,Not
78,Not
82,Not
94,Not
94,Not
93,Not
89,Not
94,Not
92,Not
90,Not
94,Not
95,Not
92,Not
91,Not
96,Not
94,Not
95,Not
99,Not
99,Not
106,Not
109,Not
123,Not
125,Not
135,Not
129,Not
124,Not
121,Not
119,Not
116,Not
117,Not
115,Not
111,Not
109,Not
105,Not
103,Not
99,Not
97,Not
95,Not
92,Not
95,Not
99,Not
95,Not
96,Not
100,Not
109,Not
110,Not
108,Not
111,Not
112,Not
119,Not
118,Not
125,Not
122,Not
122,Not
121,Not
122,Not
124,Not
120,Not
120,Not
118,Not
114,Not
119,Not
117,Not
124,Not
126,Not
128,Not
123,Not
123,Not
119,Not
115,Not
112,Not
108,Not
107,Not
106,Not
109,Not
110,Not
107,Not
105,Not
102,Not
98,Not
95,Not
95,Not
101,Not
96,Not
94,Not
93,Not
95,Not
102,Not
103,Not
100,Not
101,Not
103,Not
102,Not
104,Not
101,Not
101,Not
101,Not
98,Not
108,Not
110,Not
106,Not
102,Not
98,Not
95,Not
99,Not
96,Not
96,Not
94,Not
92,Not
92,Not
89,Not
88,Not
89,Not
86,Not
85,Not
84,Not
88,Not
88,Not
86,Not
88,Not
85,Not
84,Not
85,Not
85,Not
82,Not
82,Not
80,Not
82,Not
80,Not
79,Not
79,Not
79,Not
78,Not
76,Not
75,Not
81,Not
91,Not
101,Not
102,Not
108,Not
107,Not
108,Not
105,Not
102,Not
100,Not
101,Not
98,Not
94,Not
92,Not
96,Not
98,Not
101,Not
101,Not
100,Not
98,Not
106,Not
105,Not
114,Not
115,Not
116,Not
111,Not
107,Not
112,Not
109,Not
104,Not
113,Not
120,Not
128,Not
135,Not
131,Not
135,Not
136,Not
136,Not
136,Not
137,Not
138,Not
136,Not
151,Not
148,Not
143,Not
145,Not
153,Not
150,Not
143,Not
139,Not
143,Not
141,Not
141,Not
136,Not
132,Not
129,Not
128,Not
123,Not
117,Not
117,Not
118,Not
115,Not
113,Not
112,Not
115,Not
110,Not
109,Not
104,Not
102,Not
100,Not
100,Not
109,Not
112,Not
111,Not
108,Not
104,Not
99,Not
100,Not
99,Not
101,Not
106,Not
101,Not
107,Not
111,Not
113,Not
114,Not
114,Not
112,Not
111,Not
117,Not
112,Not
114,Not
110,Not
108,Not
108,Not
108,Not
110,Not
106,Not
104,Not
108,Not
114,Not
112,Not
114,Not
120,Not
120,Not
118,Not
124,Not
124,Not
124,Not
127,Not
139,Not
138,Not
135,Not
134,Not
139,Not
139,Not
137,Not
134,Not
133,Not
129,Not
127,Not
123,Not
118,Not
113,Not
112,Not
119,Not
113,Not
115,Not
118,Not
117,Not
114,Not
117,Not
118,Not
117,Not
120,Not
116,Not
113,Not
109,Not
107,Not
105,Not
104,Not
104,Not
104,Not
115,Not
121,Not
124,Not
126,Not
120,Not
121,Not
126,Not
122,Not
120,Not
114,Not
117,Not
112,Not
109,Not
106,Not
104,Not
105,Not
109,Not
117,Not
116,Not
115,Not
111,Not
112,Not
112,Not
109,Not
107,Not
111,Not
111,Not
112,Not
115,Not
124,Not
124,Not
120,Not
122,Not
122,Not
120,Not
119,Not
117,Not
115,Not
110,Not
105,Not
102,Not
114,Not
113,Flex
116,Flex
115,Flex
113,Flex
116,Flex
111,Flex
111,Flex
111,Flex
113,Flex
110,Flex
114,Flex
114,Flex
113,Flex
119,Flex
119,Flex
116,Flex
111,Flex
109,Flex
125,Flex
129,Flex
132,Flex
129,Flex
127,Flex
129,Flex
124,Flex
127,Flex
122,Flex
116,Flex
118,Flex
119,Flex
116,Flex
119,Flex
127,Flex
124,Flex
122,Flex
123,Flex
122,Flex
125,Flex
130,Flex
130,Flex
125,Flex
120,Flex
115,Flex
111,Flex
110,Flex
114,Flex
113,Flex
124,Flex
131,Flex
129,Flex
139,Flex
134,Flex
134,Flex
140,Flex
148,Flex
141,Flex
137,Flex
146,Flex
153,Flex
147,Flex
145,Flex
140,Flex
139,Flex
146,Flex
146,Flex
147,Flex
146,Flex
143,Flex
142,Flex
143,Flex
137,Flex
137,Flex
137,Flex
143,Flex
144,Flex
143,Flex
136,Flex
133,Flex
131,Flex
136,Flex
131,Flex
128,Flex
125,Flex
127,Flex
121,Flex
120,Flex
118,Flex
122,Flex
122,Flex
123,Flex
125,Flex
126,Flex
128,Flex
121,Flex
117,Flex
119,Flex
126,Flex
137,Flex
135,Flex
135,Flex
137,Flex
134,Flex
139,Flex
137,Flex
143,Flex
139,Flex
132,Flex
127,Flex
123,Flex
122,Flex
121,Flex
116,Flex
113,Flex
122,Flex
118,Flex
114,Flex
111,Flex
118,Flex
115,Flex
119,Flex
113,Flex
115,Flex
112,Flex
122,Flex
123,Flex
118,Flex
113,Flex
114,Flex
112,Flex
108,Flex
106,Flex
103,Flex
99,Flex
95,Flex
91,Flex
88,Flex
89,Flex
91,Flex
89,Flex
88,Flex
85,Flex
86,Flex
84,Flex
81,Flex
79,Flex
76,Flex
77,Flex
74,Flex
71,Flex
71,Flex
71,Flex
72,Flex
73,Flex
72,Flex
75,Flex
72,Flex
68,Flex
66,Flex
65,Flex
64,Flex
64,Flex
63,Flex
65,Flex
64,Flex
62,Flex
63,Flex
64,Flex
65,Flex
64,Flex
62,Flex
61,Flex
63,Flex
66,Flex
66,Flex
64,Flex
64,Flex
67,Flex
66,Flex
66,Flex
65,Flex
67,Flex
67,Flex
66,Flex
66,Flex
68,Flex
70,Flex
71,Flex
71,Flex
70,Flex
68,Flex
66,Flex
67,Flex
66,Flex
66,Flex
64,Flex
66,Flex
68,Flex
69,Flex
70,Flex
71,Flex
73,Flex
74,Flex
73,Flex
71,Flex
71,Flex
71,Flex
71,Flex
70,Flex
68,Flex
68,Flex
68,Flex
68,Flex
67,Flex
66,Flex
64,Flex
65,Flex
66,Flex
65,Flex
63,Flex
65,Flex
65,Flex
65,Flex
65,Flex
63,Flex
64,Flex
64,Flex
63,Flex
62,Flex
63,Flex
65,Flex
67,Flex
65,Flex
65,Flex
67,Flex
66,Flex
64,Flex
62,Flex
60,Flex
62,Flex
62,Flex
61,Flex
60,Flex
59,Flex
57,Flex
57,Flex
55,Flex
54,Flex
57,Flex
60,Flex
62,Flex
61,Flex
60,Flex
59,Flex
60,Flex
61,Flex
61,Flex
59,Flex
58,Flex
57,Flex
57,Flex
56,Flex
55,Flex
55,Flex
55,Flex
55,Flex
56,Flex
54,Flex
53,Flex
52,Flex
51,Flex
50,Flex
55,Flex
53,Flex
52,Flex
51,Flex
52,Flex
51,Flex
52,Flex
53,Flex
52,Flex
52,Flex
52,Flex
51,Flex
49,Flex
50,Flex
48,Flex
47,Flex
47,Flex
46,Flex
48,Flex
47,Flex
45,Flex
45,Flex
44,Flex
43,Flex
43,Flex
42,Flex
41,Flex
41,Flex
40,Flex
40,Flex
38,Flex
37,Flex
36,Flex
35,Flex
35,Flex
36,Flex
36,Flex
37,Flex
36,Flex
34,Flex
34,Flex
34,Flex
34,Flex
35,Flex
34,Flex
34,Flex
33,Flex
32,Flex
33,Flex
32,Flex
32,Flex
33,Flex
34,Flex
37,Flex
39,Flex
39,Flex
38,Flex
37,Flex
37,Flex
36,Flex
36,Flex
36,Flex
35,Flex
35,Flex
37,Flex
36,Flex
35,Flex
33,Flex
33,Flex
32,Flex
31,Flex
32,Flex
32,Flex
32,Flex
33,Flex
33,Flex
34,Flex
33,Flex
35,Flex
36,Flex
34,Flex
33,Flex
34,Flex
