myo,action
150,Not
152,Not
151,Not
145,Not
149,Not
185,Not
194,Not
200,Not
193,Not
194,Not
189,Not
191,Not
203,Not
203,Not
204,Not
196,Not
197,Not
208,Not
213,Not
205,Not
195,Not
200,Not
201,Not
195,Not
198,Not
191,Not
181,Not
178,Not
170,Not
168,Not
161,Not
161,Not
156,Not
154,Not
159,Not
153,Not
144,Not
141,Not
156,Not
151,Not
148,Not
152,Not
150,Not
167,Not
174,Not
174,Not
184,Not
176,Not
175,Not
171,Not
172,Not
172,Not
180,Not
192,Not
197,Not
189,Not
191,Not
183,Not
180,Not
185,Not
179,Not
175,Not
172,Not
164,Not
157,Not
156,Not
151,Not
154,Not
154,Not
151,Not
174,Not
175,Not
167,Not
183,Not
183,Not
184,Not
181,Not
177,Not
173,Not
172,Not
180,Not
172,Not
174,Not
178,Not
174,Not
188,Not
182,Not
196,Not
194,Not
185,Not
185,Not
186,Not
178,Not
172,Not
167,Not
160,Not
156,Not
156,Not
158,Not
156,Not
158,Not
158,Not
153,Not
151,Not
154,Not
154,Not
159,Not
159,Not
163,Not
159,Not
158,Not
155,Not
157,Not
157,Not
161,Not
156,Not
167,Not
164,Not
173,Not
174,Not
168,Not
159,Not
157,Not
151,Not
149,Not
153,Not
162,Not
159,Not
161,Not
169,Not
190,Not
184,Not
181,Not
173,Not
175,Not
183,Not
177,Not
173,Not
169,Not
165,Not
160,Not
169,Not
180,Not
188,Not
191,Not
189,Not
183,Not
176,Not
170,Not
165,Not
166,Not
164,Not
158,Not
170,Not
169,Not
165,Not
164,Not
164,Not
177,Not
174,Not
166,Not
173,Not
166,Not
168,Not
161,Not
158,Not
169,Not
174,Not
173,Not
187,Not
196,Not
203,Not
199,Not
199,Not
204,Not
201,Not
194,Not
189,Not
182,Not
190,Not
183,Not
185,Not
189,Not
187,Not
190,Not
197,Not
192,Not
184,Not
178,Not
185,Not
188,Not
189,Not
191,Not
188,Not
191,Not
191,Not
192,Not
190,Not
192,Not
199,Not
199,Not
192,Not
188,Not
181,Not
179,Not
174,Not
167,Not
170,Not
167,Not
165,Not
170,Not
165,Not
166,Not
173,Not
185,Not
186,Not
202,Not
206,Not
212,Not
219,Not
220,Not
233,Not
232,Not
228,Not
237,Not
238,Not
228,Not
227,Not
220,Not
213,Not
211,Not
216,Not
216,Not
209,Not
214,Not
204,Not
205,Not
195,Not
185,Not
193,Not
194,Not
194,Not
186,Not
192,Not
202,Not
200,Not
200,Not
192,Not
190,Not
182,Not
174,Not
175,Not
172,Not
172,Not
181,Not
177,Not
176,Not
171,Not
176,Not
175,Not
169,Not
164,Not
171,Not
163,Not
168,Not
168,Not
162,Not
161,Not
157,Not
153,Not
148,Not
148,Not
144,Not
154,Not
160,Not
173,Not
191,Not
186,Not
184,Not
181,Not
172,Not
169,Not
191,Not
190,Not
187,Not
181,Not
180,Not
186,Not
178,Not
172,Not
171,Not
175,Not
178,Not
180,Not
179,Not
183,Not
192,Not
192,Not
200,Not
194,Not
197,Not
189,Not
191,Not
187,Not
183,Not
181,Not
183,Not
186,Not
182,Not
181,Not
192,Not
182,Not
175,Not
181,Not
174,Not
188,Not
208,Not
211,Not
213,Not
208,Not
224,Not
231,Not
231,Not
223,Not
216,Not
206,Not
212,Not
200,Not
203,Not
194,Not
187,Not
185,Not
184,Not
194,Not
197,Not
206,Not
208,Not
204,Not
202,Not
203,Not
199,Not
192,Not
188,Not
184,Not
183,Not
195,Not
208,Not
211,Not
223,Not
234,Not
228,Not
236,Not
249,Not
242,Not
242,Not
231,Not
228,Not
223,Not
212,Not
219,Not
212,Not
216,Not
220,Not
219,Not
210,Not
203,Not
200,Not
199,Not
193,Not
185,Not
188,Not
185,Not
187,Not
185,Not
180,Not
185,Not
178,Not
174,Not
175,Not
177,Not
173,Not
170,Not
165,Not
172,Not
176,Not
181,Not
186,Not
199,Not
197,Not
193,Not
184,Not
183,Not
187,Not
199,Not
199,Not
208,Not
215,Not
213,Not
208,Not
210,Not
199,Not
190,Not
188,Not
181,Not
189,Not
191,Not
191,Not
195,Not
204,Not
207,Not
213,Not
212,Not
211,Not
205,Not
211,Not
206,Not
198,Not
187,Not
181,Not
178,Not
175,Not
174,Not
181,Not
182,Not
176,Not
173,Not
166,Not
174,Not
168,Not
163,Not
167,Not
174,Not
171,Not
164,Not
160,Not
155,Not
154,Not
157,Not
154,Not
149,Not
144,Not
140,Not
142,Not
140,Not
141,Not
151,Not
148,Not
148,Not
147,Not
145,Not
141,Not
137,Not
133,Not
130,Not
132,Not
127,Not
128,Not
133,Not
133,Not
147,Not
163,Not
162,Not
155,Not
153,Not
150,Not
151,Not
145,Not
144,Not
138,Not
149,Not
146,Not
140,Not
144,Not
155,Not
161,Not
162,Not
156,Not
152,Not
146,Not
145,Not
142,Not
137,Not
145,Not
147,Not
151,Not
