myo,action
95,Not
94,Not
91,Not
88,Not
85,Not
91,Not
90,Not
90,Not
88,Not
85,Not
84,Not
81,Not
81,Not
82,Not
80,Not
78,Not
79,Not
80,Not
81,Not
80,Not
78,Not
77,Not
79,Not
82,Not
80,Not
78,Not
76,Not
76,Not
77,Not
77,Not
76,Not
76,Not
75,Not
73,Not
72,Not
76,Not
78,Not
81,Not
82,Not
81,Not
83,Not
84,Not
83,Not
85,Not
83,Not
86,Not
90,Not
90,Not
88,Not
86,Not
86,Not
86,Not
83,Not
82,Not
87,Not
88,Not
88,Not
91,Not
91,Not
92,Not
89,Not
86,Not
87,Not
93,Not
100,Not
99,Not
102,Not
101,Not
99,Not
97,Not
98,Not
97,Not
97,Not
97,Not
93,Not
93,Not
90,Not
87,Not
86,Not
84,Not
85,Not
83,Not
82,Not
85,Not
83,Not
85,Not
82,Not
83,Not
81,Not
82,Not
81,Not
82,Not
85,Not
85,Not
85,Not
84,Not
83,Not
85,Not
85,Not
86,Not
83,Not
87,Not
88,Not
88,Not
85,Not
87,Not
87,Not
86,Not
84,Not
83,Not
83,Not
83,Not
80,Not
85,Not
88,Not
87,Not
85,Not
84,Not
84,Not
86,Not
87,Not
84,Not
82,Not
85,Not
83,Not
81,Not
79,Not
77,Not
77,Not
75,Not
76,Not
78,Not
83,Not
87,Not
84,Not
84,Not
82,Not
89,Not
90,Not
88,Not
88,Not
89,Not
87,Not
84,Not
85,Not
85,Not
84,Not
87,Not
85,Not
84,Not
84,Not
81,Not
78,Not
78,Not
83,Not
87,Not
85,Not
81,Not
79,Not
77,Not
79,Not
82,Not
86,Not
84,Not
84,Not
83,Not
82,Not
85,Not
84,Not
86,Not
88,Not
87,Not
85,Not
83,Not
84,Not
88,Not
87,Not
88,Not
87,Not
85,Not
85,Not
82,Not
81,Not
81,Not
80,Not
80,Not
80,Not
82,Not
81,Not
80,Not
80,Not
81,Not
80,Not
84,Not
84,Not
84,Not
85,Not
84,Not
89,Not
91,Not
98,Not
98,Not
97,Not
94,Not
99,Not
101,Not
97,Not
94,Not
93,Not
92,Not
91,Not
91,Not
92,Not
88,Not
87,Not
87,Not
85,Not
84,Not
85,Not
90,Not
93,Not
92,Not
88,Not
87,Not
87,Not
85,Not
82,Not
82,Not
84,Not
84,Not
84,Not
82,Not
80,Not
82,Not
79,Not
76,Not
75,Not
72,Not
74,Not
80,Not
79,Not
80,Not
79,Not
80,Not
77,Not
77,Not
77,Not
81,Not
79,Not
75,Not
73,Not
74,Not
71,Not
70,Not
70,Not
72,Not
73,Not
73,Not
73,Not
72,Not
71,Not
71,Not
71,Not
77,Not
75,Not
77,Not
83,Not
86,Not
86,Not
86,Not
84,Not
82,Not
79,Not
76,Not
80,Not
82,Not
86,Not
86,Not
88,Not
86,Not
88,Not
86,Not
86,Not
87,Not
89,Not
88,Not
88,Not
86,Not
86,Not
94,Not
94,Not
92,Not
88,Not
91,Not
89,Not
89,Not
90,Not
90,Not
87,Not
86,Not
88,Not
91,Not
88,Not
88,Not
87,Not
84,Not
82,Not
80,Not
79,Not
81,Not
83,Not
81,Not
84,Not
86,Not
86,Not
86,Not
84,Not
83,Not
80,Not
82,Not
91,Not
90,Not
91,Not
89,Not
87,Not
85,Not
81,Not
78,Not
78,Not
76,Not
79,Not
83,Not
82,Not
81,Not
80,Not
81,Not
85,Not
84,Not
82,Not
81,Not
83,Not
84,Not
84,Not
83,Not
81,Not
81,Not
82,Not
86,Not
86,Not
88,Not
86,Not
85,Not
90,Not
90,Not
90,Not
87,Not
90,Not
93,Not
90,Not
87,Not
85,Not
83,Not
82,Not
83,Not
84,Not
82,Not
81,Not
79,Not
76,Not
76,Not
80,Not
80,Not
80,Not
84,Not
83,Not
80,Not
80,Not
79,Not
77,Not
81,Not
99,Not
108,Not
114,Not
112,Not
107,Not
105,Not
102,Not
103,Not
104,Not
100,Not
95,Not
95,Not
95,Not
94,Not
95,Not
94,Not
96,Not
93,Not
93,Not
94,Not
90,Not
86,Not
85,Not
84,Not
81,Not
83,Not
84,Not
89,Not
91,Not
90,Not
89,Not
97,Not
103,Not
107,Not
109,Not
106,Not
109,Not
104,Not
101,Not
101,Not
102,Not
98,Not
94,Not
92,Not
93,Not
97,Not
99,Not
98,Not
98,Not
99,Not
96,Not
97,Not
94,Not
92,Not
90,Not
90,Not
91,Not
96,Not
95,Not
97,Not
96,Not
97,Not
93,Not
93,Not
93,Not
99,Not
99,Not
97,Not
96,Not
95,Not
91,Not
90,Not
88,Not
92,Not
94,Not
97,Not
94,Not
92,Not
88,Not
85,Not
88,Not
90,Not
92,Not
92,Not
93,Not
96,Not
93,Not
93,Not
95,Not
93,Not
92,Not
98,Not
94,Not
93,Not
95,Not
92,Not
89,Not
93,Not
89,Not
89,Not
87,Not
85,Not
85,Not
87,Not
85,Not
84,Not
83,Not
80,Not
80,Not
81,Not
84,Not
83,Not
86,Not
87,Not
84,Not
81,Not
81,Not
79,Not
79,Not
78,Not
80,Flex
82,Flex
80,Flex
79,Flex
79,Flex
80,Flex
80,Flex
78,Flex
78,Flex
77,Flex
77,Flex
78,Flex
75,Flex
74,Flex
72,Flex
69,Flex
73,Flex
75,Flex
76,Flex
73,Flex
74,Flex
78,Flex
81,Flex
82,Flex
82,Flex
81,Flex
88,Flex
89,Flex
88,Flex
87,Flex
91,Flex
91,Flex
90,Flex
87,Flex
85,Flex
89,Flex
89,Flex
87,Flex
86,Flex
84,Flex
86,Flex
89,Flex
87,Flex
86,Flex
87,Flex
86,Flex
85,Flex
82,Flex
82,Flex
85,Flex
83,Flex
83,Flex
83,Flex
86,Flex
83,Flex
87,Flex
85,Flex
82,Flex
81,Flex
82,Flex
80,Flex
80,Flex
81,Flex
78,Flex
77,Flex
79,Flex
80,Flex
81,Flex
84,Flex
82,Flex
82,Flex
80,Flex
77,Flex
74,Flex
73,Flex
70,Flex
70,Flex
70,Flex
69,Flex
72,Flex
75,Flex
76,Flex
76,Flex
76,Flex
79,Flex
78,Flex
77,Flex
74,Flex
76,Flex
76,Flex
74,Flex
76,Flex
75,Flex
74,Flex
80,Flex
83,Flex
80,Flex
79,Flex
78,Flex
79,Flex
77,Flex
75,Flex
76,Flex
79,Flex
80,Flex
79,Flex
78,Flex
78,Flex
75,Flex
74,Flex
75,Flex
74,Flex
75,Flex
74,Flex
75,Flex
76,Flex
76,Flex
76,Flex
76,Flex
86,Flex
84,Flex
81,Flex
80,Flex
82,Flex
82,Flex
82,Flex
84,Flex
85,Flex
84,Flex
87,Flex
90,Flex
89,Flex
86,Flex
88,Flex
86,Flex
86,Flex
87,Flex
93,Flex
91,Flex
87,Flex
92,Flex
90,Flex
89,Flex
85,Flex
84,Flex
80,Flex
80,Flex
77,Flex
78,Flex
81,Flex
82,Flex
86,Flex
85,Flex
84,Flex
80,Flex
80,Flex
78,Flex
77,Flex
76,Flex
72,Flex
74,Flex
75,Flex
73,Flex
71,Flex
68,Flex
72,Flex
75,Flex
75,Flex
76,Flex
76,Flex
75,Flex
74,Flex
73,Flex
71,Flex
72,Flex
71,Flex
74,Flex
72,Flex
71,Flex
70,Flex
67,Flex
70,Flex
70,Flex
68,Flex
68,Flex
67,Flex
69,Flex
70,Flex
71,Flex
73,Flex
70,Flex
72,Flex
73,Flex
76,Flex
75,Flex
71,Flex
76,Flex
80,Flex
81,Flex
80,Flex
79,Flex
77,Flex
77,Flex
76,Flex
75,Flex
74,Flex
74,Flex
75,Flex
76,Flex
75,Flex
73,Flex
71,Flex
72,Flex
71,Flex
68,Flex
66,Flex
63,Flex
64,Flex
64,Flex
63,Flex
63,Flex
62,Flex
60,Flex
59,Flex
59,Flex
61,Flex
61,Flex
60,Flex
60,Flex
58,Flex
57,Flex
59,Flex
59,Flex
59,Flex
58,Flex
57,Flex
58,Flex
57,Flex
56,Flex
54,Flex
53,Flex
54,Flex
53,Flex
53,Flex
51,Flex
50,Flex
50,Flex
48,Flex
48,Flex
48,Flex
47,Flex
45,Flex
46,Flex
47,Flex
50,Flex
48,Flex
47,Flex
45,Flex
44,Flex
42,Flex
41,Flex
44,Flex
42,Flex
42,Flex
41,Flex
40,Flex
41,Flex
45,Flex
45,Flex
45,Flex
44,Flex
47,Flex
48,Flex
47,Flex
45,Flex
43,Flex
44,Flex
45,Flex
46,Flex
45,Flex
44,Flex
46,Flex
45,Flex
44,Flex
44,Flex
43,Flex
42,Flex
42,Flex
42,Flex
42,Flex
40,Flex
40,Flex
39,Flex
39,Flex
40,Flex
41,Flex
41,Flex
40,Flex
41,Flex
41,Flex
40,Flex
40,Flex
41,Flex
41,Flex
41,Flex
42,Flex
41,Flex
41,Flex
40,Flex
43,Flex
43,Flex
41,Flex
40,Flex
42,Flex
41,Flex
42,Flex
43,Flex
43,Flex
42,Flex
41,Flex
40,Flex
40,Flex
42,Flex
42,Flex
41,Flex
40,Flex
40,Flex
40,Flex
40,Flex
41,Flex
41,Flex
40,Flex
40,Flex
41,Flex
40,Flex
40,Flex
39,Flex
38,Flex
39,Flex
39,Flex
40,Flex
39,Flex
39,Flex
38,Flex
37,Flex
39,Flex
39,Flex
39,Flex
39,Flex
39,Flex
40,Flex
41,Flex
41,Flex
44,Flex
43,Flex
41,Flex
40,Flex
41,Flex
41,Flex
42,Flex
42,Flex
41,Flex
41,Flex
41,Flex
41,Flex
41,Flex
43,Flex
45,Flex
43,Flex
42,Flex
42,Flex
43,Flex
44,Flex
44,Flex
46,Flex
49,Flex
51,Flex
51,Flex
51,Flex
52,Flex
53,Flex
52,Flex
52,Flex
50,Flex
50,Flex
52,Flex
51,Flex
50,Flex
48,Flex
48,Flex
48,Flex
48,Flex
50,Flex
50,Flex
50,Flex
52,Flex
53,Flex
51,Flex
50,Flex
49,Flex
48,Flex
49,Flex
48,Flex
47,Flex
46,Flex
46,Flex
49,Flex
50,Flex
49,Flex
48,Flex
47,Flex
50,Flex
49,Flex
49,Flex
48,Flex
47,Flex
48,Flex
49,Flex
49,Flex
48,Flex
47,Flex
46,Flex
47,Flex
49,Flex
49,Flex
47,Flex
49,Flex
49,Flex
48,Flex
48,Flex
46,Flex
46,Flex
49,Flex
50,Flex
51,Flex
50,Flex
48,Flex
47,Flex
47,Flex
47,Flex
46,Flex
46,Flex
47,Flex
48,Flex
49,Flex
49,Flex
48,Flex
47,Flex
46,Flex
46,Flex
46,Flex
46,Flex
47,Flex
48,Flex
47,Flex
45,Flex
