myo,action
67,Not
64,Not
63,Not
60,Not
61,Not
60,Not
61,Not
61,Not
60,Not
58,Not
58,Not
59,Not
60,Not
62,Not
62,Not
63,Not
65,Not
67,Not
66,Not
67,Not
69,Not
71,Not
70,Not
70,Not
72,Not
70,Not
72,Not
73,Not
73,Not
74,Not
76,Not
77,Not
78,Not
80,Not
80,Not
82,Not
84,Not
85,Not
86,Not
87,Not
88,Not
89,Not
92,Not
95,Not
97,Not
96,Not
96,Not
96,Not
97,Not
99,Not
101,Not
104,Not
104,Not
104,Not
103,Not
103,Not
102,Not
102,Not
103,Not
103,Not
104,Not
106,Not
107,Not
107,Not
108,Not
108,Not
107,Not
109,Not
110,Not
111,Not
111,Not
111,Not
111,Not
111,Not
112,Not
111,Not
109,Not
110,Not
110,Not
110,Not
108,Not
108,Not
110,Not
109,Not
109,Not
109,Not
108,Not
109,Not
107,Not
107,Not
106,Not
104,Not
105,Not
105,Not
104,Not
103,Not
101,Not
101,Not
101,Not
101,Not
100,Not
99,Not
100,Not
99,Not
98,Not
98,Not
98,Not
97,Not
94,Not
93,Not
94,Not
94,Not
94,Not
92,Not
90,Not
88,Not
90,Not
92,Not
92,Not
92,Not
90,Not
91,Not
89,Not
90,Not
90,Not
88,Not
87,Not
87,Not
88,Not
86,Not
85,Not
85,Not
84,Not
82,Not
80,Not
79,Not
78,Not
75,Not
75,Not
76,Not
76,Not
77,Not
74,Not
73,Not
74,Not
74,Not
73,Not
73,Not
74,Not
75,Not
72,Not
71,Not
70,Not
69,Not
69,Not
69,Not
69,Not
68,Not
67,Not
66,Not
66,Not
64,Not
62,Not
62,Not
62,Not
61,Not
60,Not
60,Not
60,Not
59,Not
59,Not
57,Not
58,Not
57,Not
58,Not
57,Not
57,Not
56,Not
55,Not
54,Not
53,Not
52,Not
52,Not
53,Not
53,Not
52,Not
51,Not
50,Not
50,Not
49,Not
48,Not
48,Not
48,Not
48,Not
46,Not
45,Not
45,Not
44,Not
44,Not
43,Not
44,Not
43,Not
45,Not
48,Not
51,Not
50,Not
51,Not
50,Not
54,Not
56,Not
55,Not
63,Not
65,Not
66,Not
62,Not
63,Not
66,Not
73,Not
75,Not
77,Not
78,Not
80,Not
77,Not
77,Not
73,Not
71,Not
70,Not
69,Not
67,Not
66,Not
63,Not
60,Not
58,Not
58,Not
57,Not
62,Not
65,Not
63,Not
62,Not
60,Not
58,Not
57,Not
57,Not
57,Not
57,Not
59,Not
56,Not
54,Not
55,Not
54,Not
51,Not
50,Not
48,Not
47,Not
46,Not
45,Not
43,Not
42,Not
41,Not
40,Not
39,Not
40,Not
40,Not
40,Not
39,Not
38,Not
36,Not
35,Not
37,Not
38,Not
40,Not
39,Not
40,Not
42,Not
43,Not
42,Not
41,Not
40,Not
39,Not
39,Not
38,Not
38,Not
38,Not
37,Not
35,Not
34,Not
33,Not
32,Not
33,Not
31,Not
31,Not
31,Not
30,Not
30,Not
30,Not
29,Not
29,Not
28,Not
28,Not
29,Not
28,Not
28,Not
28,Not
27,Not
27,Not
26,Not
26,Not
26,Not
26,Not
27,Not
27,Not
27,Not
26,Not
26,Not
27,Not
26,Not
25,Not
26,Not
25,Not
24,Not
25,Not
24,Not
24,Not
23,Not
23,Not
24,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
24,Not
24,Not
25,Not
24,Not
24,Not
23,Not
24,Not
24,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
24,Not
25,Not
25,Not
25,Not
25,Not
26,Not
27,Not
29,Not
29,Not
28,Not
28,Not
29,Not
31,Not
32,Not
33,Not
32,Not
31,Not
30,Not
29,Not
29,Not
28,Not
28,Not
26,Not
27,Not
28,Not
27,Not
28,Not
29,Not
28,Not
28,Not
