myo,action
17,Not
17,Not
16,Not
17,Not
18,Not
19,Not
19,Not
19,Not
20,Not
20,Not
20,Not
19,Not
19,Not
18,Not
18,Not
18,Not
19,Not
18,Not
19,Not
19,Not
20,Not
20,Not
21,Not
20,Not
19,Not
20,Not
20,Not
19,Not
19,Not
18,Not
18,Not
19,Not
19,Not
20,Not
20,Not
20,Not
21,Not
22,Not
23,Not
25,Not
25,Not
29,Not
40,Not
41,Not
51,Not
64,Not
81,Not
100,Not
111,Not
121,Not
136,Not
144,Not
154,Not
189,Not
199,Not
198,Not
198,Not
196,Not
194,Not
213,Not
207,Not
208,Not
204,Not
210,Not
205,Not
201,Not
199,Not
199,Not
201,Not
209,Not
217,Not
224,Not
229,Not
229,Not
228,Not
218,Not
218,Not
220,Not
215,Not
208,Not
200,Not
201,Not
193,Not
190,Not
187,Not
184,Not
184,Not
184,Not
178,Not
170,Not
164,Not
163,Not
166,Not
166,Not
167,Not
163,Not
170,Not
169,Not
162,Not
162,Not
159,Not
153,Not
152,Not
163,Not
162,Not
157,Not
159,Not
157,Not
155,Not
150,Not
144,Not
144,Not
147,Not
142,Not
141,Not
157,Not
153,Not
154,Not
150,Not
156,Not
149,Not
145,Not
140,Not
140,Not
141,Not
135,Not
133,Not
138,Not
134,Not
132,Not
128,Not
129,Not
131,Not
131,Not
135,Not
133,Not
140,Not
145,Not
146,Not
151,Not
147,Not
148,Not
147,Not
146,Not
154,Not
152,Not
155,Not
152,Not
149,Not
156,Not
154,Not
154,Not
150,Not
148,Not
151,Not
148,Not
145,Not
138,Not
132,Not
135,Not
133,Not
128,Not
123,Not
124,Not
121,Not
122,Not
126,Not
131,Not
134,Not
149,Not
145,Not
139,Not
134,Not
132,Not
131,Not
132,Not
138,Not
136,Not
141,Not
144,Not
144,Not
146,Not
145,Not
139,Not
136,Not
137,Not
132,Not
131,Not
125,Not
121,Not
123,Not
128,Not
128,Not
127,Not
123,Not
122,Not
121,Not
118,Not
114,Not
110,Not
115,Not
127,Not
125,Not
126,Not
124,Not
124,Not
118,Not
115,Not
114,Not
115,Not
116,Not
118,Not
132,Not
129,Not
124,Not
127,Not
123,Not
138,Not
139,Not
140,Not
136,Not
133,Not
136,Not
132,Not
130,Not
126,Not
129,Not
137,Not
134,Not
131,Not
126,Not
122,Not
120,Not
114,Not
117,Not
119,Not
115,Not
112,Not
117,Not
124,Not
121,Not
127,Not
122,Not
118,Not
115,Not
113,Not
109,Not
104,Not
106,Not
102,Not
106,Not
110,Not
110,Not
107,Not
105,Not
108,Not
110,Not
108,Not
106,Not
104,Not
102,Not
108,Not
107,Not
107,Not
106,Not
109,Not
107,Not
102,Not
109,Not
107,Not
106,Not
104,Not
102,Not
98,Not
95,Not
93,Not
91,Not
89,Not
88,Not
87,Not
87,Not
93,Not
95,Not
101,Not
102,Not
101,Not
97,Not
93,Not
90,Not
92,Not
91,Not
92,Not
89,Not
92,Not
93,Not
93,Not
93,Not
92,Not
95,Not
92,Not
90,Not
89,Not
90,Not
87,Not
84,Not
83,Not
87,Not
94,Not
98,Not
97,Not
104,Not
110,Not
114,Not
112,Not
118,Not
117,Not
119,Not
112,Not
110,Not
108,Not
108,Not
109,Not
106,Not
102,Not
99,Not
95,Not
97,Not
96,Not
101,Not
100,Not
100,Not
103,Not
101,Not
98,Not
97,Not
95,Not
92,Not
89,Not
89,Not
90,Not
93,Not
92,Not
93,Not
95,Not
92,Not
94,Not
89,Not
87,Not
85,Not
88,Not
87,Not
85,Not
87,Not
89,Not
88,Not
85,Not
83,Not
85,Not
84,Not
85,Not
82,Not
81,Not
