myo,action
3,Not
22,Not
21,Not
21,Not
21,Not
20,Not
20,Not
20,Not
21,Not
20,Not
21,Not
19,Not
20,Not
20,Not
19,Not
20,Not
19,Not
20,Not
20,Not
19,Not
19,Not
19,Not
18,Not
18,Not
18,Not
18,Not
19,Not
19,Not
21,Not
20,Not
20,Not
20,Not
20,Not
21,Not
21,Not
21,Not
21,Not
19,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
21,Not
22,Not
22,Not
21,Not
21,Not
23,Not
24,Not
25,Not
29,Not
41,Not
60,Not
65,Not
93,Not
107,Not
121,Not
139,Not
167,Not
176,Not
179,Not
193,Not
190,Not
196,Not
199,Not
213,Not
214,Not
204,Not
193,Not
205,Not
200,Not
198,Not
210,Not
202,Not
200,Not
197,Not
196,Not
201,Not
223,Not
225,Not
219,Not
207,Not
199,Not
201,Not
199,Not
196,Not
185,Not
179,Not
174,Not
168,Not
170,Not
168,Not
167,Not
185,Not
203,Not
195,Not
221,Not
219,Not
219,Not
221,Not
215,Not
215,Not
208,Not
199,Not
193,Not
208,Not
205,Not
209,Not
205,Not
220,Not
214,Not
211,Not
207,Not
204,Not
198,Not
208,Not
214,Not
211,Not
202,Not
204,Not
198,Not
210,Not
220,Not
209,Not
205,Not
212,Not
206,Not
200,Not
208,Not
200,Not
212,Not
208,Not
210,Not
210,Not
216,Not
213,Not
201,Not
192,Not
184,Not
181,Not
177,Not
174,Not
175,Not
179,Not
185,Not
179,Not
183,Not
177,Not
178,Not
170,Not
162,Not
164,Not
159,Not
158,Not
162,Not
155,Not
149,Not
149,Not
157,Not
161,Not
159,Not
166,Not
166,Not
161,Not
154,Not
146,Not
145,Not
145,Not
141,Not
146,Not
150,Not
150,Not
152,Not
150,Not
153,Not
155,Not
151,Not
145,Not
141,Not
142,Not
141,Not
137,Not
134,Not
133,Not
133,Not
127,Not
122,Not
125,Not
126,Not
125,Not
124,Not
129,Not
134,Not
127,Not
129,Not
127,Not
127,Not
125,Not
125,Not
121,Not
119,Not
123,Not
129,Not
125,Not
125,Not
126,Not
122,Not
116,Not
117,Not
114,Not
113,Not
117,Not
113,Not
112,Not
111,Not
106,Not
105,Not
109,Not
111,Not
110,Not
108,Not
106,Not
105,Not
102,Not
109,Not
107,Not
102,Not
99,Not
102,Not
109,Not
114,Not
115,Not
116,Not
116,Not
112,Not
111,Not
107,Not
109,Not
107,Not
115,Not
111,Not
107,Not
101,Not
103,Not
101,Not
100,Not
99,Not
97,Not
98,Not
111,Not
114,Not
117,Not
115,Not
114,Not
111,Not
110,Not
108,Not
107,Not
105,Not
104,Not
104,Not
101,Not
103,Not
101,Not
100,Not
100,Not
99,Not
98,Not
101,Not
101,Not
98,Not
97,Not
96,Not
94,Not
92,Not
88,Not
85,Not
88,Not
90,Not
91,Not
96,Not
97,Not
96,Not
93,Not
97,Not
105,Not
110,Not
108,Not
110,Not
111,Not
111,Not
107,Not
104,Not
106,Not
104,Not
99,Not
102,Not
101,Not
103,Not
109,Not
114,Not
113,Not
110,Not
106,Not
103,Not
101,Not
98,Not
98,Not
96,Not
98,Not
96,Not
93,Not
91,Not
91,Not
89,Not
89,Not
87,Not
96,Not
95,Not
93,Not
92,Not
89,Not
89,Not
91,Not
93,Not
91,Not
90,Not
