myo,action
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
20,Not
20,Not
20,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
22,Not
22,Not
23,Not
22,Not
22,Not
21,Not
21,Not
20,Not
20,Not
21,Not
20,Not
19,Not
19,Not
18,Not
20,Not
21,Not
22,Not
22,Not
22,Not
22,Not
21,Not
21,Not
21,Not
21,Not
22,Not
21,Not
22,Not
22,Not
22,Not
21,Not
22,Not
21,Not
20,Not
21,Not
22,Not
21,Not
21,Not
21,Not
21,Not
21,Not
21,Not
22,Not
22,Not
23,Not
23,Not
22,Not
22,Not
23,Not
22,Not
23,Not
22,Not
22,Not
22,Not
23,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
22,Not
22,Not
21,Not
20,Not
21,Not
20,Not
21,Not
20,Not
21,Not
21,Not
22,Not
22,Not
22,Not
22,Not
23,Not
23,Not
23,Not
24,Not
24,Not
23,Not
23,Not
24,Not
25,Not
24,Not
25,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
22,Not
22,Not
21,Not
21,Not
21,Not
20,Not
20,Not
19,Not
18,Not
18,Not
18,Not
19,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
19,Not
19,Not
19,Not
19,Not
19,Not
19,Not
19,Not
18,Not
19,Not
18,Not
19,Not
20,Not
18,Not
20,Not
20,Not
20,Not
20,Not
20,Not
20,Not
21,Not
20,Not
20,Not
20,Not
20,Not
21,Not
20,Not
19,Not
19,Not
19,Not
20,Not
19,Not
19,Not
20,Not
19,Not
19,Not
20,Not
20,Not
20,Not
19,Not
19,Not
18,Not
19,Not
19,Not
19,Not
20,Not
19,Not
19,Not
19,Not
19,Not
18,Not
18,Not
18,Not
18,Not
18,Not
18,Not
19,Not
20,Not
20,Not
21,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
24,Not
24,Not
25,Not
25,Not
25,Not
24,Not
24,Not
23,Not
22,Not
23,Not
23,Not
23,Not
23,Not
23,Not
21,Not
22,Not
22,Not
21,Not
22,Not
22,Not
21,Not
22,Not
23,Not
24,Not
24,Not
23,Not
22,Not
23,Not
22,Not
22,Not
22,Not
22,Not
21,Not
22,Not
24,Not
23,Not
24,Not
24,Not
23,Not
23,Not
23,Not
24,Not
25,Not
26,Not
26,Not
25,Not
26,Not
26,Not
25,Not
25,Not
25,Not
24,Not
25,Not
24,Not
24,Not
25,Not
24,Not
23,Not
24,Not
24,Not
24,Not
23,Not
23,Not
22,Not
22,Not
23,Not
24,Not
25,Not
24,Not
25,Not
25,Not
25,Not
25,Not
26,Not
26,Not
24,Not
24,Not
25,Not
24,Not
24,Not
24,Not
24,Not
25,Not
24,Not
26,Not
25,Not
25,Not
25,Not
24,Not
25,Not
25,Not
25,Not
25,Not
26,Not
25,Not
24,Not
23,Not
23,Not
23,Not
23,Not
22,Not
21,Not
21,Not
22,Not
24,Not
24,Not
24,Not
24,Not
24,Not
25,Not
25,Not
24,Not
24,Not
25,Not
25,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
23,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
24,Not
23,Not
24,Not
24,Not
23,Not
25,Not
25,Not
25,Not
27,Not
26,Not
25,Not
26,Not
26,Not
26,Not
26,Not
25,Not
25,Not
25,Not
25,Not
25,Not
25,Not
26,Not
25,Not
25,Not
24,Not
25,Not
24,Not
23,Not
24,Not
24,Not
24,Not
24,Not
23,Not
23,Not
23,Not
24,Not
25,Not
25,Not
25,Not
25,Not
25,Not
26,Not
25,Not
24,Not
24,Not
24,Not
25,Not
24,Not
27,Not
27,Not
26,Not
27,Not
27,Not
29,Not
29,Not
28,Not
27,Not
27,Not
26,Not
26,Not
26,Not
26,Not
27,Not
26,Not
27,Not
26,Not
27,Not
27,Not
28,Not
28,Not
28,Not
28,Not
28,Not
28,Not
29,Not
29,Not
29,Not
30,Not
29,Not
29,Not
28,Not
28,Not
29,Not
28,Not
28,Not
28,Not
29,Not
30,Not
29,Not
28,Not
29,Not
30,Not
30,Not
30,Not
29,Not
29,Not
30,Not
31,Not
30,Not
31,Not
30,Not
29,Not
30,Not
29,Not
28,Not
28,Not
27,Not
27,Not
28,Not
28,Not
28,Not
28,Not
28,Not
28,Not
28,Not
29,Not
29,Not
29,Not
32,Not
32,Not
32,Not
31,Not
30,Not
30,Not
30,Not
32,Not
31,Not
31,Not
30,Not
30,Not
30,Not
29,Not
29,Not
29,Not
29,Not
29,Not
30,Not
31,Not
32,Not
33,Not
33,Not
33,Not
33,Not
32,Not
32,Not
33,Not
33,Not
31,Not
31,Not
29,Not
29,Not
29,Not
29,Not
30,Not
28,Not
29,Not
30,Not
29,Not
30,Not
31,Not
31,Not
30,Not
31,Not
33,Not
32,Not
33,Not
33,Not
33,Not
34,Not
34,Not
33,Not
32,Not
32,Not
34,Not
33,Not
32,Not
32,Not
32,Flex
32,Flex
31,Flex
32,Flex
31,Flex
30,Flex
30,Flex
30,Flex
29,Flex
29,Flex
30,Flex
31,Flex
32,Flex
33,Flex
34,Flex
34,Flex
33,Flex
33,Flex
33,Flex
33,Flex
32,Flex
32,Flex
32,Flex
32,Flex
33,Flex
33,Flex
32,Flex
32,Flex
33,Flex
33,Flex
32,Flex
31,Flex
32,Flex
32,Flex
33,Flex
34,Flex
33,Flex
33,Flex
32,Flex
31,Flex
31,Flex
30,Flex
30,Flex
32,Flex
30,Flex
32,Flex
32,Flex
32,Flex
32,Flex
32,Flex
31,Flex
30,Flex
31,Flex
32,Flex
32,Flex
31,Flex
31,Flex
33,Flex
33,Flex
32,Flex
31,Flex
31,Flex
32,Flex
33,Flex
32,Flex
33,Flex
34,Flex
32,Flex
34,Flex
33,Flex
32,Flex
32,Flex
33,Flex
32,Flex
32,Flex
32,Flex
32,Flex
33,Flex
33,Flex
33,Flex
33,Flex
34,Flex
34,Flex
34,Flex
34,Flex
34,Flex
33,Flex
33,Flex
33,Flex
35,Flex
36,Flex
35,Flex
34,Flex
34,Flex
33,Flex
34,Flex
34,Flex
33,Flex
33,Flex
32,Flex
33,Flex
32,Flex
32,Flex
33,Flex
34,Flex
35,Flex
35,Flex
33,Flex
33,Flex
34,Flex
35,Flex
35,Flex
35,Flex
35,Flex
34,Flex
